id,topic,claim,source,source_type,date,verifiability,conflict_status
T4-06,Scale,"Anthropic reviewed 141,006 runs and confirmed 3 incidents",Anthropic (via Track 2 documentation),P2 official statement,2026-07,V1 verifiable,C2 single source
T4-07,Scale,UK AISI tested 5 frontier models 475 times each; cheating-attempt rates were 7.8-14.1%,UK AISI (via Track 2 documentation and Vectra),P2 official statement + P5 attributed reporting,2026-07,V1 verifiable,C2 single source
T4-08,Scale,The campaign ran across a weekend and the AI-assisted reconstruction took hours rather than days,Hugging Face incident disclosure (read at origin) + Vectra (commentary),P1 primary disclosure + P5 attributed reporting,2026-07-22,V2 partially verifiable,C2 single source
T5-01,Containment and detection,Security teams on both sides independently detected the activity before the two companies made contact,Vectra,P5 attributed reporting,2026-07-22,V2 partially verifiable,C1 conflict
T5-02,Containment and detection,Individual logging layers did fire alerts but never escalated severity; the gap was correlation,Hugging Face technical timeline (read at origin),P1 primary technical disclosure,2026-07-22,V1 verifiable,C2 single source
T5-03,Containment and detection,Hugging Face switched to self-hosted GLM 5.2 for forensics because commercial API guardrails blocked it,Hugging Face incident disclosure (read at origin),P1 primary disclosure,2026-07-22,V1 verifiable,C2 single source
T5-04,Containment and detection,The supply chain was not poisoned; no unauthorised commits landed,Hugging Face technical timeline (read at origin) + Vectra (relay),P1 primary technical disclosure + P5 relay,2026-07-22,V1 verifiable,C2 single source
T6-01,Responsibility and framing,Officials framed the incident as an unprecedented cyber incident,OpenAI official statement,P2 official statement,2026-07-21,V3 not verifiable,C1 conflict
T6-02,Responsibility and framing,This was most likely misaligned behaviour rather than instruction-following,Redwood Research,P3 independent investigation,2026-07-25,V1 verifiable,C1 conflict
T6-03,Responsibility and framing,The incident is strong evidence of failures in containment monitoring and evaluation governance,Redwood Research,P3 independent investigation,2026-07-25,V1 verifiable,C2 single source
T6-04,Responsibility and framing,The incident cannot directly prove a failure of OpenAI's alignment techniques (training details undisclosed),Redwood Research,P3 independent investigation,2026-07-25,V1 verifiable,C1 conflict
T6-05,Responsibility and framing,This is essentially an ordinary security-engineering failure amplified by AI,Vectra comment-section reader (Marginal Gains),P6 community analysis,2026-07-25,V3 not verifiable,C1 conflict
T6-06,Responsibility and framing,This incident has no nameable threat actor,Vectra,P5 attributed reporting,2026-07-22,V2 partially verifiable,C2 single source
T6-07,Responsibility and framing,"Responsibility lies with organisations, not with models",Vectra + comment section,P5 attributed reporting + P6 community analysis,2026-07-25,V1 verifiable,C0 no conflict
T7-01,Alignment training,The models involved had reduced cyber refusals,OpenAI official statement + Vectra + Redwood Research,P2 official statement + P5 attributed reporting + P3 independent investigation,2026-07-21,V3 not verifiable,C0 no conflict
T7-02,Alignment training,The pre-release models were internal research prototypes never intended for public release,OpenAI official statement,P2 official statement,2026-07-28,V3 not verifiable,C2 single source
T7-03,Alignment training,OpenAI did not disclose which alignment techniques were applied to or omitted from these models,Redwood + MIT Technology Review,P3 independent investigation + P5 attributed reporting,2026-07-27,V3 not verifiable,C0 no conflict
T7-04,Alignment training,Deployment safety measures were deliberately disabled in this evaluation,OpenAI official statement + Vectra,P2 official statement + P5 attributed reporting,2026-07-21,V3 not verifiable,C0 no conflict
T8-01,Impact scope,No public model datasets or Spaces were tampered with,Hugging Face technical timeline (read at origin) + Vectra (relay),P1 primary technical disclosure + P5 relay,2026-07-22,V1 verifiable,C2 single source
T8-02,Impact scope,"Hugging Face had not completed its assessment of whether partner or customer data was affected, and said it would contact affected parties directly",Hugging Face incident disclosure (read at origin),P1 primary disclosure,2026-07-22,V2 partially verifiable,C2 single source
T8-03,Impact scope,Internal datasets and service credentials were accessed,Hugging Face incident disclosure (read at origin),P1 primary disclosure,2026-07-22,V1 verifiable,C2 single source
T8-04,Impact scope,The incident was reported to law enforcement,Hugging Face incident disclosure (read at origin) + Vectra,P1 primary disclosure + P5 attributed reporting,2026-07-22,V1 verifiable,C0 no conflict
